	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj	EhMyb10_1	EhMyb10_2	EhMyb10_3	pEhEx_1	pEhEx_2	pEhEx_3	EhMyb10_1.1	EhMyb10_2.1	EhMyb10_3.1	pEhEx_1.1	pEhEx_2.1	pEhEx_3.1	Certeza	DE
EHI_062840A	305.8280842	1.649114046	0.685088072	2.407156268	0.016077289	0.346626535	12	19	516	17	7	314	10.75816201	17.09827973	1618.102338	10.0493547	6.573109986	172.3872613	65.34	DOWN_pEhEx_UP_EhMyb10
EHI_182790A	266.8592568	1.633842272	0.680102802	2.402346036	0.01629029	0.346626535	15	36	439	25	12	278	13.44770252	32.39674053	1376.64133	14.7784628	11.26818855	152.6231167	65.34	DOWN_pEhEx_UP_EhMyb10
EHI_023000A	61.92898873	-1.985676983	0.828431754	-2.396910757	0.01653395	0.347696402	77	9	2	157	149	101	69.03153958	8.099185133	6.271714487	92.80874638	139.9133411	55.44940571	65.23	UP_pEhEx_DOWN_EhMyb10
EHI_137050A	124.4872952	1.632456217	0.683253049	2.389241028	0.016883222	0.351894292	7	15	201	11	5	156	6.275594507	13.49864189	630.3073059	6.502523632	4.695078561	85.64462663	64.81	DOWN_pEhEx_UP_EhMyb10
EHI_014070A	16.32334253	1.909789445	0.799549801	2.388580978	0.016913581	NA	13	29	13	20	4	7	11.65467551	26.09737432	40.76614416	11.82277024	3.756062849	3.843028118	NA	DOWN_pEhEx_UP_EhMyb10
EHI_125320A	17.50468636	1.91107943	0.801507736	2.384355566	0.017109063	NA	5	9	25	6	3	14	4.482567505	8.099185133	78.39643108	3.546831072	2.817047137	7.686056236	NA	DOWN_pEhEx_UP_EhMyb10
EHI_177370A	15.95331878	1.833084013	0.774438629	2.366984219	0.017933697	NA	7	21	17	11	5	11	6.275594507	18.89809864	53.30957314	6.502523632	4.695078561	6.039044186	NA	DOWN_pEhEx_UP_EhMyb10
EHI_036600A	117.5078546	1.849620974	0.784336635	2.358197858	0.018363902	0.370117109	6	18	173	10	0	246	5.379081006	16.19837027	542.5033031	5.91138512	0	135.0549882	62.99	DOWN_pEhEx_UP_EhMyb10
EHI_118190A	384.0934958	1.838664118	0.780088394	2.356994581	0.018423516	0.370117109	7	14	678	9	7	269	6.275594507	12.59873243	2126.111211	5.320246608	6.573109986	147.6820805	62.99	DOWN_pEhEx_UP_EhMyb10
EHI_103900A	56.73600134	1.68738924	0.717140034	2.352942466	0.018625516	0.372096414	63	207	2	79	47	1	56.48035056	186.2812581	6.271714487	46.69994244	44.13373848	0.549004017	62.79	DOWN_pEhEx_UP_EhMyb10
EHI_113580A	14.67176319	2.120817258	0.902241027	2.350610528	0.01874264	NA	3	8	21	5	0	17	2.689540503	7.199275674	65.85300211	2.95569256	0	9.333068287	NA	DOWN_pEhEx_UP_EhMyb10
EHI_153940.mRNA	9.832091535	-1.875857764	0.800226956	-2.344157179	0.019070133	NA	6	8	0	27	26	11	5.379081006	7.199275674	0	15.96073982	24.41440852	6.039044186	NA	UP_pEhEx_DOWN_EhMyb10
EHI_162230A	23.28870637	-2.837165315	1.219036068	-2.327384226	0.019944825	0.386842374	0	20	0	55	88	12	0	17.99818919	0	32.51261816	82.63338268	6.588048203	61.32	UP_pEhEx_DOWN_EhMyb10
EHI_097600A	63.70575472	1.621470921	0.697053851	2.326177409	0.020009088	0.386842374	4	12	91	7	1	141	3.586054004	10.79891351	285.3630091	4.137969584	0.939015712	77.40956638	61.32	DOWN_pEhEx_UP_EhMyb10
EHI_137010A	38.61348526	1.614475369	0.696059435	2.319450447	0.020370625	0.387580781	21	48	39	34	15	24	18.82678352	43.19565404	122.2984325	20.09870941	14.08523568	13.17609641	61.24	DOWN_pEhEx_UP_EhMyb10
EHI_137270A	38.61348526	1.614475369	0.696059435	2.319450447	0.020370625	0.387580781	21	48	39	34	15	24	18.82678352	43.19565404	122.2984325	20.09870941	14.08523568	13.17609641	61.24	DOWN_pEhEx_UP_EhMyb10
EHI_033850A	15.55280256	-2.192651965	0.946132443	-2.317489462	0.020477084	NA	2	18	0	49	33	28	1.793027002	16.19837027	0	28.96578709	30.98751851	15.37211247	NA	UP_pEhEx_DOWN_EhMyb10
EHI_068140A	14.44265073	2.140164877	0.929249825	2.303110337	0.021272636	NA	20	31	6	15	14	0	17.93027002	27.89719324	18.81514346	8.867077679	13.14621997	0	NA	DOWN_pEhEx_UP_EhMyb10
EHI_034960A	9.142385043	2.377382866	1.034446664	2.298216958	0.021549444	NA	12	22	4	4	10	0	10.75816201	19.7980081	12.54342897	2.364554048	9.390157123	0	NA	DOWN_pEhEx_UP_EhMyb10
EHI_075170A	24.91696549	1.757929213	0.766857571	2.292380332	0.021883706	0.389698346	33	61	7	44	17	2	29.58494553	54.89447702	21.9510007	26.01009453	15.96326711	1.098008034	61.03	DOWN_pEhEx_UP_EhMyb10
EHI_169310A	59.35627407	2.331059567	1.018659412	2.288360113	0.022116558	0.389698346	104	116	18	98	47	0	93.23740411	104.3894973	56.44543038	57.93157417	44.13373848	0	61.03	DOWN_pEhEx_UP_EhMyb10
EHI_148580A	85.38835495	2.057393279	0.901234046	2.282862358	0.022438477	0.389698346	2	17	140	9	1	91	1.793027002	15.29846081	439.0200141	5.320246608	0.939015712	49.95936554	61.03	DOWN_pEhEx_UP_EhMyb10
EHI_114920A	929.5465272	-2.164580781	0.949274995	-2.280246287	0.022593086	0.389698346	815	29	79	1963	2567	1825	730.6585033	26.09737432	247.7327222	1160.404899	2410.453333	1001.932331	61.03	UP_pEhEx_DOWN_EhMyb10
EHI_182560A	114.3443147	1.729113249	0.759850895	2.275595463	0.022870233	0.389698346	24	46	174	44	11	75	21.51632402	41.39583513	545.6391603	26.01009453	10.32917284	41.17530127	61.03	DOWN_pEhEx_UP_EhMyb10
EHI_026360A	36.53156239	-1.922367482	0.845553441	-2.273502049	0.022995943	0.389698346	40	19	0	57	78	108	35.86054004	17.09827973	0	33.69489518	73.24322556	59.29243382	61.03	UP_pEhEx_DOWN_EhMyb10
EHI_179390A	232.4066962	-1.667359123	0.733455727	-2.273292119	0.023008582	0.389698346	52	33	159	300	329	607	46.61870205	29.69701216	498.6013017	177.3415536	308.9361693	333.2454383	61.03	UP_pEhEx_DOWN_EhMyb10
EHI_054210A	13.39919716	-1.707598201	0.751716803	-2.271597754	0.023110817	NA	5	5	2	13	15	79	4.482567505	4.499547296	6.271714487	7.684800655	14.08523568	43.37131733	NA	UP_pEhEx_DOWN_EhMyb10
