"","Trophozoites","Cyst_8h","Cyst_24h","Cyst_48h","Cyst_72h","Excyst_2h","Excyst_8h"
"EIN_222920",7.08023127201926,6.74671584769678,5.57531233068744,4.57349571549561,3.58014548442338,6.3671963100259,4.67638025546692
"EIN_173710",8.3131551362192,8.2107200415305,8.53523648943793,9.99930948265598,8.51175265376738,9.29443695437696,8.43587857730987
"EIN_327660",3.37295209791183,2.34482849699744,7.3629081714163,6.98185265328974,6.02812708231714,4.33413917883824,0.895302621333307
"EIN_284550",2.43028527297778,1.8073549220576,1.89917563048051,0.722466024471091,2.80529245560071,2.92029330021101,1.97085365434048
"EIN_468500",7.65592421308382,2.43829285157915,2.05658352836637,4.53106949272595,1.44360665147561,7.49193324382787,8.56708144971975
"EIN_187120",9.64796202260466,9.56075316093469,10.600777084813,11.5761489071882,10.3066085791395,7.25842470173893,5.53605290024021
"EIN_176430",4.79025073883523,2.65306001710456,2.75274859140713,4.50589092972996,3.76128527336162,3.42223300068305,3.11603199344711
"EIN_152450",7.34465098914845,6.89311947583592,7.56353950317219,6.27817064963117,5.62964804418744,5.32264926213102,3.92409988564074
"EIN_428970",9.51058616851581,9.35193303939644,8.75398553586908,8.59368990247457,9.55845898053411,11.3845301501431,11.3746374196446
"EIN_419420",4,2.02502879449152,2.64154602908752,5.96693797927846,3.58856473740135,3.50716034911752,0
"EIN_215120",0,0.189033824390017,1.89141918684608,0.22650852980868,3.69710657447697,3.54596836910529,3.00539998774259
"EIN_055940",5.09761079662642,6.41751500288509,3.72465027173297,4.46205231879643,0.250961573533219,5.07553263116736,7.51080372035832
"EIN_498400",12.1774164233593,12.0377219610614,11.392134927489,10.3118164185922,10.3693247024073,8.94518044001508,6.22573765346606
"EIN_044390",7.2240016741981,7.09275714091985,5.10936055940423,3.96901230751632,0.963474123974886,7.18447867118709,8.28484722941863
"EIN_498890",12.1297885156996,11.2903875397639,10.6186516237442,8.73386271967854,6.96555343498708,11.6670538686113,12.4088232937104
"EIN_114020",0.333423733725192,1.80322703643493,0.286881147788162,0,0,0.27500704749987,0.250961573533219
"EIN_398130",5.4995270242151,4.55213110825378,2.53356334821451,0,1.4905701304462,3.72574115650395,4.58195375084882
"EIN_269080",9.08249503372788,8.77873424411784,9.21599400607787,9.80459893361981,9.65738991258115,11.1123482765684,11.6224636976925
"EIN_487250",4.79649392942584,5.79623433517576,6.82527683005487,2.22958792274065,0.970853654340484,4.50589092972996,2.21723071622067
"EIN_462870",4.35049724708413,2.95977015521147,8.58127591651367,7.43845920442348,2.99276843076892,4.15218341905505,2.51349074558812
"EIN_118080",1.44360665147561,2.62527048937469,6.92029330021101,7.01703108052784,7.0945527860391,3.92314918047231,1.27500704749987
"EIN_274360",0,0.604071323668861,6.19041732545997,7.87811223746302,8.75067349320609,7.11551189717237,2.42492208821069
"EIN_095510",11.591728030488,11.8095028734837,12.3933260978654,13.302087670141,13.8642403220988,11.6950107396532,9.48784003382305
"EIN_335470",10.0780039950341,10.1047821908626,9.58796498888268,9.45635441510829,10.0445034102976,10.6934259727244,8.67652130205656
"EIN_181480",1.15704371014558,0.310340120612151,1.25096157353322,0,0.189033824390017,0.75702324650746,0.150559676575381
"EIN_281250",3.00539998774259,3.71699089440494,0.815575428862572,0,0,0.918386234446348,1.44890095114513
"EIN_485740",4.98595575460751,5.23572705983806,5.39711840904258,0,4.60584986719498,4.63459326844576,0.6959938131099
"EIN_273630",4.51790555352995,3.20945336562895,5.03694284479826,2.73335434061383,5.37851162325373,3.74846123300404,1.68257329734758
"EIN_403630",3.78868571061353,6.90941310537723,5.54442356218942,0.097610796626422,2.6915341649192,6.73254056130812,7.55834417569254
"EIN_380070",0,0.176322772640463,0.0426443374084934,1.36737106564853,0,1.22032995487956,0
"EIN_135020",10.2866848148239,10.1641652813114,10.1064582512921,8.27603132517221,8.97730854811755,7.54643148880567,4.51285895444998
"EIN_486020",1.15055967657538,5.47961860846942,8.37282153924377,8.73033426780443,0.613531652917927,0.669026765509631,1.20163386116965
"EIN_430130",3.19377174339668,5.25625587320273,6.17791779219584,1.0703893278914,0,0.263034405833794,0
