Gene ID,Trophs,cyst 8h,cyst 24h,cyst 48h,cyst 72h,excyst 2h,excyst 8h
EIN_261570,3.25,12.02,8.78,2,2,3.91,2.57
EIN_269080,543.13,440.2,595.69,895.29,808.54,2214.86,3153.9
EIN_273630,23.91,10.25,33.83,7.65,42.6,14.44,4.21
EIN_274360,2,2.52,74.03,236.26,431.74,139.67,6.37
EIN_274510,7.66,12.03,9.2,2,2.03,2.23,2.5
EIN_275230,7.16,3.33,324.37,35.77,39.31,14.75,8.75
EIN_281250,9.03,14.15,2.76,2,2,2.89,3.73
EIN_281330,2,5.67,2.23,2.53,53.43,103.98,104.19
EIN_284550,6.39,4.5,4.73,2.65,7.99,8.57,4.92
EIN_284560,18.18,57.11,752.77,1838,2029.87,439.69,10.57
EIN_284940,12.19,34.06,21.59,2.66,14.43,39.7,1166.07
EIN_284970,468.16,22.88,2.59,2.24,5.08,109.44,74.41
EIN_308160,2.05,3.78,14.65,2,6.08,6.22,2.6
EIN_309600,181.6,89.36,143.64,90.39,115.94,350.46,498.3
EIN_327660,11.36,6.08,165.61,127.4,66.26,21.17,2.86
EIN_327940,38.37,38.29,44.53,53.52,23.5,36.43,17.12
EIN_335410,2.36,7.07,127.35,177.7,226.65,359.69,56.02
EIN_335470,1081.89,1102.14,770.6,703.5,1057.08,1656.93,410.16
EIN_337640,2,2.11,2.86,2,2.05,2.84,2.69
EIN_359870,3.06,2.56,20.18,2,2,5.19,14.42
EIN_369450,127.61,30.15,54.7,15.92,38.85,46.84,3.87
EIN_369520,2.03,2.17,34.99,18.3,23.02,44.24,11.36
EIN_369710,2.07,2.59,19.29,4.27,2.13,27.71,3.15
EIN_371050,12.42,9.32,179.61,73.77,30.46,92.65,51.31
EIN_371160,340.8,64.47,103.78,69.19,82.92,100.89,29.98
EIN_371410,174.06,223.97,179.02,415.55,483.56,264.76,467.27
EIN_377620,2.44,3.46,42,155.26,303.17,949.75,59.8
EIN_379990,13.56,38.72,10.4,9.79,3.36,10.93,6.58
EIN_380070,2,2.13,2.03,3.58,2,3.33,2
EIN_380970,2403.19,2537.59,1279.17,449.15,1244.78,842.57,508.78
EIN_381500,11.96,7.84,35.65,5.98,2.86,5.47,4.01
